Domain ID,Domain Name,Class ID,Class Name,Field ID,Field Name,Keywords,Keywords_fr
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",iced tea,thé glacé
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",coffee-based beverages,boissons à base de café
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",tea-based beverages,boissons à base de thé
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",cocoa,cacao
A,Agriculture,30, Staple Foods,A.30.01,"Coffee, Tea and Cocoa",artificial coffee,café artificiel
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,rice,riz
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour and preparations made from cereals,farines et préparations à base de céréales
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,bread,pain
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,pasta,pâtes alimentaires
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,noodles,Nouilles
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,tapioca,tapioca
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,sago,sago
A,Agriculture,30, Staple Foods,A.30.02,Staple Foods,flour,farine
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,chocolate,chocolat
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,confectionery,confiserie
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cakes,gâteaux
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,biscuits,biscuits
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,cookies,cookies
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,ice cream,crème glacée
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,candy,sucreries
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pastries,pâtisseries
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,pies,tartes
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,puddings,puddings
A,Agriculture,30, Staple Foods,A.30.03,Sweet Treats and Confectionery,edible ices,Glaces comestibles
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,vinegar,vinaigre
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,sauces (condiments),sauces (condiments)
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,salt,sel
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,mustard,moutarde
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,honey,Chérie
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,treacle,Treacle
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,seasonings,assaisonnements
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,"vinegar, sauces (condiments)","vinaigre, sauces (condiments)"
A,Agriculture,30, Staple Foods,A.30.04,Condiments and Sauces,condiments,condiments
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,yeast,levure
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,baking-powder,Poudre à cuisson
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,sugar,sucre
A,Agriculture,30, Staple Foods,A.30.05,Baking and Cooking Ingredients,salt,sel
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,ice,glace
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,sandwiches,sandwiches
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,pizzas,pizzas
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,crackers,Crackers
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,cereal preparations,préparations céréalières
A,Agriculture,30, Staple Foods,A.30.99,Other Food Items,"flour and preparations made from cereals, bread, pastry and confectionery, ices","farines et préparations à base de céréales, pains, pâtisseries et confiseries, glaces"
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,fresh fruits and vegetables,fruits et légumes frais
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,fresh vegetables,légumes frais
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,fresh fruit,fruits frais
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,"fruit, fresh",Fruits frais
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,"vegetables, fresh",légumes frais
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,"agricultural, horticultural and forestry products and grains not included in other classes","produits agricoles, horticoles et forestiers et céréales non compris dans d'autres catégories"
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,seeds,graines
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,natural plants and flowers,plantes et fleurs naturelles
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,natural plants and flowers,plantes et fleurs naturelles
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,seeds,graines
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,plants,plantes
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,trees,arbres
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,"garden herbs, fresh","herbes de jardin, fraîches"
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,"grains and agricultural, horticultural and forestry products not included in other classes","céréales et produits agricoles, horticoles et forestiers non compris dans d'autres catégories"
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,grains [cereals],grains [céréales]
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,oats,avoine
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,wheat,froment (blé)
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,foodstuffs for animals,denrées alimentaires pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,pet food,Aliments pour animaux de compagnie
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,animal foodstuffs,denrées alimentaires pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,foodstuffs for animals,denrées alimentaires pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,edible chews for animals,Mâches comestibles pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,animal feed,aliments pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,dog biscuits,biscuits pour chiens
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,dog food,Nourriture pour chiens
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,bird food,nourriture pour oiseaux
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,strengthening animal forage,renforcer le fourrage des animaux
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,malt,malt
A,Agriculture,31, Natural Agricultural Products,A.31.02,Agricultural Products,malt for brewing and distilling,malt pour brassage et distillation
A,Agriculture,31, Natural Agricultural Products,A.31.04,Live Animals,live animals,animaux vivants
A,Agriculture,31, Natural Agricultural Products,A.31.04,Live Animals,live animals,animaux vivants
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,seeds,graines
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,seedlings,Plantules
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,plant seeds,graines de plantes
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,raw and unprocessed grains and seeds,Graines et graines brutes et non transformées
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,live plants,Plantes vivantes
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,beverages for pets,boissons pour animaux de compagnie
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,edible pet treats,gâteries comestibles pour animaux de compagnie
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,litter for animals,litière pour animaux
A,Agriculture,31, Natural Agricultural Products,A.31.05,Seeds and Plant Materials,flowers,Fleurs
A,Agriculture,31, Natural Agricultural Products,A.31.01,Fresh Produce,fresh fruits and vegetables,fruits et légumes frais
A,Agriculture,31, Natural Agricultural Products,A.31.03,Animal Food,strengthening animal forage,renforcer le fourrage des animaux
A,Agriculture,32, Beverages,A.32.01,Syrups and Preparations,syrups and other preparations for making beverages,sirops et autres préparations pour la fabrication des boissons
A,Agriculture,32, Beverages,A.32.01,Syrups and Preparations,syrups for beverages,sirops pour boissons
A,Agriculture,32, Beverages,A.32.01,Syrups and Preparations,essences for making beverages,essences pour la fabrication de boissons
A,Agriculture,32, Beverages,A.32.01,Syrups and Preparations,syrups for making beverages,sirops pour la fabrication de boissons
A,Agriculture,32, Beverages,A.32.05,Beers,beers,bières
A,Agriculture,32, Beverages,A.32.05,Beers,beer,bière
A,Agriculture,32, Beverages,A.32.05,Beers,beer and non-alcoholic beverages,bière et boissons non alcoolisées
A,Agriculture,32, Beverages,A.32.05,Beers,malt beer,bière de malt
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,fruit drinks and fruit juices,boissons de fruits et jus de fruits
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,fruit beverages and fruit juices,boissons et jus de fruits
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,fruit juices,Jus de fruits
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,non-alcoholic fruit juice beverages,Boissons de jus de fruits non alcoolisées
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,vegetable juices [beverages],Jus de légumes [boissons]
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,fruit beverages,boissons de fruits
A,Agriculture,32, Beverages,A.32.02,Fruit Drinks and Juices,fruit-based snack food,grignotines à base de fruits
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,non-alcoholic beverages,boissons non alcoolisées
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,mineral and aerated waters and other non-alcoholic drinks,eaux minérales et aérées et autres boissons non alcoolisées
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,smoothies,Smoothies
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,non-alcoholic drinks,boissons non alcoolisées
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,non-alcoholic fruit extracts,Extraits de fruits non alcooliques
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,isotonic beverages,Boissons isotoniques
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,energy drinks,boissons énergisantes
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,seltzer water,eau de seltzer
A,Agriculture,32, Beverages,A.32.03,Non-Alcoholic Beverages,"aperitifs, non-alcoholic",apéritifs non alcooliques
A,Agriculture,32, Beverages,A.32.04,Water,mineral and aerated waters,eaux minérales et aérées
A,Agriculture,32, Beverages,A.32.04,Water,mineral water,eau minérale
A,Agriculture,32, Beverages,A.32.04,Water,bottled water,eau embouteillée
A,Agriculture,32, Beverages,A.32.04,Water,table waters,eaux de nappes phréatiques
A,Agriculture,32, Beverages,A.32.04,Water,drinking water,eau potable
A,Agriculture,32, Beverages,A.32.04,Water,waters [beverages],eaux [beverages]
A,Agriculture,32, Beverages,A.32.99,Other Beverages,powders for effervescing beverages,poudres pour boissons effervescentes
A,Agriculture,32, Beverages,A.32.99,Other Beverages,preparations for making beverages,Préparations pour la fabrication de boissons
A,Agriculture,32, Beverages,A.32.99,Other Beverages,beer wort,millepertuis
A,Agriculture,32, Beverages,A.32.99,Other Beverages,extracts of hops for making beer,extraits de houblon pour la fabrication de la bière
A,Agriculture,32, Beverages,A.32.99,Other Beverages,"cocktails, non-alcoholic",cocktails non alcoolisés
A,Agriculture,32, Beverages,A.32.99,Other Beverages,ginger beer,bière au gingembre
A,Agriculture,32, Beverages,A.32.99,Other Beverages,soda water,Eau de soude
A,Agriculture,32, Beverages,A.32.99,Other Beverages,whey beverages,Boissons de lactosérum
A,Agriculture,32, Beverages,A.32.99,Other Beverages,non-alcoholic honey-based beverages,boissons à base de miel non alcoolisées
A,Agriculture,32, Beverages,A.32.99,Other Beverages,ice,glace
A,Agriculture,32, Beverages,A.32.99,Other Beverages,ice cream,crème glacée
A,Agriculture,32, Beverages,A.32.99,Other Beverages,ice,glace
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,wines,vins
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,red wine,vin rouge
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,white wine,vin blanc
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,sparkling wines,vins mousseux
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,fortified wines,vins fortifiés
A,Agriculture,33, Alcoholic Beverages,A.33.02,Wines,still wines,vins tranquilles
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,spirits,spiritueux
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,vodka,vodka
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,gin,gin
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,whisky,Whisky
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,rum,rhum
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,brandy,Brandy
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,distilled spirits,eaux-de-vie distillées
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,spirits [beverages],Esprits [Beverages]
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,peppermint liqueurs,liqueurs de menthe poivrée
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,kirsch,Kirsch
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,alcohol extracts,extraits d'alcool
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,alcohol essences,essences d'alcool
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,bitters,Amertumes
A,Agriculture,33, Alcoholic Beverages,A.33.03,Spirits,"pre-mixed alcoholic beverages, other than beer-based","boissons alcoolisées prémélangées, autres qu'à base de bière"
A,Agriculture,33, Alcoholic Beverages,A.33.04,Cocktails,cocktails,cocktails
A,Agriculture,33, Alcoholic Beverages,A.33.04,Cocktails,alcoholic cocktails,cocktails alcooliques
A,Agriculture,33, Alcoholic Beverages,A.33.04,Cocktails,alcoholic preparations for making beverages,préparations alcooliques pour la fabrication des boissons
A,Agriculture,33, Alcoholic Beverages,A.33.04,Cocktails,pre-mixed alcoholic beverages,boissons alcoolisées prémélangées
A,Agriculture,33, Alcoholic Beverages,A.33.05,Liqueurs,liqueurs,liqueurs
A,Agriculture,33, Alcoholic Beverages,A.33.05,Liqueurs,digesters [liqueurs and spirits],digesteurs [liqueurs et spiritueux]
A,Agriculture,33, Alcoholic Beverages,A.33.05,Liqueurs,peppermint liqueurs,liqueurs de menthe poivrée
A,Agriculture,33, Alcoholic Beverages,A.33.05,Liqueurs,cider,cidre
A,Agriculture,33, Alcoholic Beverages,A.33.05,Liqueurs,perry,Périodicité
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic beverages (except beers),boissons alcoolisées (à l'exception des bières)
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic beverages (except beer),boissons alcoolisées (à l'exception de la bière)
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),"alcoholic beverages, except beer","boissons alcoolisées, à l'exception de la bière"
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),"alcoholic beverages, except beer","boissons alcoolisées, à l'exception de la bière"
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic beverages,boissons alcoolisées
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic beverages containing fruit,boissons alcoolisées contenant des fruits
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic extracts,extraits alcooliques
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic essences,essences alcooliques
A,Agriculture,33, Alcoholic Beverages,A.33.01,Alcoholic Beverages (General),alcoholic preparations for making beverages,préparations alcooliques pour la fabrication des boissons
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,rice alcohol,alcool de riz
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,sweet wine,Vin doux
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,mulled wines,Vins grillés
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,piquette,piquette
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,cooking wine,Vin de cuisson
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,still wines,vins tranquilles
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,"fruit extracts, alcoholic","Extraits de fruits, alcoolisés"
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,whisky,Whisky
A,Agriculture,33, Alcoholic Beverages,A.33.99,Other Alcoholic Beverages,whiskey,whisky
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,restaurant services,services de restauration
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,services for providing food and drink,services pour la fourniture de nourriture et de boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,restaurants,restaurants
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,food and drink catering,restauration des aliments et des boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,self-service restaurants,restaurants en libre-service
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,self-service restaurant services,Services de restauration en libre-service
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,restaurant and bar services,services de restaurant et de bar
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,bar services,Services de bar
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,bar and restaurant services,services de bar et de restaurant
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,take-out restaurant services,services de restauration à emporter
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,fast-food restaurant services,services de restauration rapide
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,restaurant reservation services,services de réservation de restaurant
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,restaurant services for the provision of fast food,services de restauration pour la fourniture de fast-food
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,coffee shop services,services de café
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,coffee shops,Cafetières
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,café services,services de café
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,café services,services de café
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,cafés,cafés
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,coffee shop services,services de café
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,preparation of food and drink,Préparation des aliments et des boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,food preparation,Préparation des aliments
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,takeaway food and drink services,services de restauration et de boissons à emporter
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,snack-bars,Snacks-bars
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,snack-bar services,Services de snack-bar
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,cafeteria services,Services de cafétéria
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,cafeterias,cafétérias
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,canteen services,services de cantine
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,canteens,cantines
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,providing food and drink,fournir des aliments et des boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,provision of food and drink,fourniture de denrées alimentaires et de boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,catering services,services de restauration
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,catering,restauration
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,temporary accommodation,Logement temporaire
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,temporary accommodation reservations,réservation temporaire d'hébergement
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,hotel services,services hôteliers
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,hotels,hôtels
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,hotel accommodation services,services d'hébergement hôtelier
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,providing temporary accommodation,fourniture d ' un hébergement temporaire
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,rental of temporary accommodation,Location de logements temporaires
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,hotel reservations,réservations d'hôtel
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,rental of meeting rooms,Location de salles de réunion
A,Agriculture,43, Hotels and Restaurants,A.43.02,Accommodation Services,boarding for animals,l'embarquement des animaux
A,Agriculture,43, Hotels and Restaurants,A.43.99,Other Accomodation Services,"rental of chairs, tables, table linen, glassware","Location de chaises, tables, linge de table, verrerie"
A,Agriculture,43, Hotels and Restaurants,A.43.99,Other Accomodation Services,all included in class 43,tous compris dans la classe 43
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,food and drink catering,restauration des aliments et des boissons
A,Agriculture,43, Hotels and Restaurants,A.43.01,Restaurant Services,catering for the provision of food and beverages,pour la fourniture de denrées alimentaires et de boissons
B,Business services,35, Advertising and Business,B.35.01,Advertising,advertising,Publicité
B,Business services,35, Advertising and Business,B.35.01,Advertising,"advertising, marketing, promotional and business","publicité, marketing, promotion et affaires"
B,Business services,35, Advertising and Business,B.35.01,Advertising,advertising,Publicité
B,Business services,35, Advertising and Business,B.35.01,Advertising,direct mail advertising,publicité par courrier direct
B,Business services,35, Advertising and Business,B.35.01,Advertising,dissemination of advertising matter,diffusion de la publicité
B,Business services,35, Advertising and Business,B.35.01,Advertising,advertising services,Services de publicité
B,Business services,35, Advertising and Business,B.35.01,Advertising,"advertising, marketing and promotional services","Services de publicité, de marketing et de promotion"
